id,hindi,santhali,santhali_script,santhali_phonetic,category,subcategory,class,subject,topic,learning_outcome,example_usage,source,verified,confidence,notes,intent,sentence_type,audio_available,difficulty,nipun_outcome_id
FLN-SAN-028,"चार","Ponea / Pun","᱔ (ᱯᱩᱱ)","पोनिया / पुन","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 4 in speech and Ol Chiki numeral ᱔.","Flashcard: 4","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱔.","NUMBER_4","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-029,"पाँच","Mōṛē","᱕ (ᱢᱚᱬᱮ)","मोड़े","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 5 in speech and Ol Chiki numeral ᱕.","Flashcard: 5","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱕.","NUMBER_5","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-030,"छह","Turui","᱖ (ᱛᱩᱨᱩᱭ)","तुरुय","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 6 in speech and Ol Chiki numeral ᱖.","Flashcard: 6","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱖.","NUMBER_6","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-031,"सात","Eyae","᱗ (ᱮᱭᱟᱭ)","एयाय","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 7 in speech and Ol Chiki numeral ᱗.","Flashcard: 7","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱗.","NUMBER_7","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-032,"आठ","Iril","᱘ (ᱤᱨᱤᱞ)","इरिल","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 8 in speech and Ol Chiki numeral ᱘.","Flashcard: 8","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱘.","NUMBER_8","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-033,"नौ","Arey","᱙ (ᱟᱨᱮ)","आरे","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 9 in speech and Ol Chiki numeral ᱙.","Flashcard: 9","Santhali Arithmetic Standard",true,"high","Ol Chiki digit ᱙.","NUMBER_9","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-034,"दस","Gele","᱑᱐ (ᱜᱮᱞ)","गेल","Vocabulary","Numbers","Class 1","Mathematics","Numbers 1-10","Identifies number 10 in speech and Ol Chiki numeral ᱑᱐.","Flashcard: 10","Santhali Arithmetic Standard",true,"high","Ol Chiki numerals ᱑᱐.","NUMBER_10","vocabulary",true,"easy","FLN-MATH-NUM-01"
FLN-SAN-035,"गाय","Gai","ᱜᱟᱹᱭ","गाई","Vocabulary","Animals","Class 1","Language","Domestic Animals","Identifies cow in mother tongue and connects to visual card.","Flashcard: Cow / 🐄","Santhali Environmental Studies Primary (SCERT)",true,"high","Common domestic animal.","ANIMAL_COW","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-036,"कुत्ता","Seta","ᱥᱮᱛᱟ","सेता","Vocabulary","Animals","Class 1","Language","Domestic Animals","Identifies dog in mother tongue.","Flashcard: Dog / 🐕","Santhali Environmental Studies Primary (SCERT)",true,"high","Universal across all Santhali communities.","ANIMAL_DOG","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-037,"बिल्ली","Pusi","ᱯᱩᱥᱤ","पुसी","Vocabulary","Animals","Class 1","Language","Domestic Animals","Identifies cat in mother tongue.","Flashcard: Cat / 🐱","Santhali Environmental Studies Primary (SCERT)",true,"high","Standard term.","ANIMAL_CAT","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-038,"बकरी","Merom","ᱢᱮᱨᱚᱢ","मेरोम","Vocabulary","Animals","Class 1","Language","Domestic Animals","Identifies goat in mother tongue.","Flashcard: Goat / 🐐","Santhali Environmental Studies Primary (SCERT)",true,"high","Essential rural animal term.","ANIMAL_GOAT","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-039,"पक्षी / चिड़िया","Cheṇe","ᱪᱮᱬᱮ","चेड़े","Vocabulary","Animals","Class 1","Language","Birds","Identifies bird in mother tongue.","Flashcard: Bird / 🐦","Santhali Environmental Studies Primary (SCERT)",true,"high","Standard term for bird.","ANIMAL_BIRD","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-040,"हाथी","Hati","ᱦᱟᱹᱛᱤ","हाती","Vocabulary","Animals","Class 1","Language","Wild Animals","Identifies elephant in mother tongue.","Flashcard: Elephant / 🐘","Santhali Environmental Studies Primary (SCERT)",true,"high","Standard term.","ANIMAL_ELEPHANT","vocabulary",true,"easy","FLN-LANG-VOC-01"
FLN-SAN-041,"लाल","Arak'","ᱟᱨᱟᱜ","आराग","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies red color and points to red objects.","Flashcard: Red color / 🔴","Santhali Environmental Studies Primary (SCERT)",true,"high","Primary color.","COLOR_RED","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-042,"हरा","Hariyar","ᱦᱟᱹᱨᱤᱭᱟᱹᱲ","हारियाड़","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies green color in nature and classroom objects.","Flashcard: Green color / 🟢","Santhali Environmental Studies Primary (SCERT)",true,"high","Color of leaves/grass.","COLOR_GREEN","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-043,"पीला","Sasang","ᱥᱟᱥᱟᱝ","सासांग","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies yellow color (turmeric color).","Flashcard: Yellow color / 🟡","Santhali Environmental Studies Primary (SCERT)",true,"high","'Sasang' literally refers to turmeric and yellow.","COLOR_YELLOW","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-044,"सफेद","Puṇḍ","ᱯᱩᱸᱰ","पुंड","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies white color (chalk/milk).","Flashcard: White color / ⚪","Santhali Environmental Studies Primary (SCERT)",true,"high","White color term.","COLOR_WHITE","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-045,"काला","Hende","ᱦᱮᱸᱫᱮ","हेंदे","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies black color (hair/slate).","Flashcard: Black color / ⚫","Santhali Environmental Studies Primary (SCERT)",true,"high","Black color term.","COLOR_BLACK","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-046,"नीला","Nil / Lildur","ᱱᱤᱞ","नील","Vocabulary","Colors","Class 1","Mathematics","Color Identification","Identifies blue color (sky).","Flashcard: Blue color / 🔵","Santhali Environmental Studies Primary (SCERT)",true,"high","Blue color term.","COLOR_BLUE","vocabulary",true,"easy","FLN-MATH-COL-01"
FLN-SAN-047,"गोल","Gulạṭ / Gol","ᱜᱩᱞᱟᱹᱴ","गुलाट","Vocabulary","Shapes","Class 1","Mathematics","2D Shapes","Identifies circular objects like sun, coin, roti.","Flashcard: Circle / ⭕","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Gulạṭ' is round/circle.","SHAPE_CIRCLE","vocabulary",true,"easy","FLN-MATH-SHP-01"
FLN-SAN-048,"त्रिकोण / तीन कोना","Pe-kona","ᱯᱮ-ᱠᱳᱬᱟ","पे-कोणा","Vocabulary","Shapes","Class 1","Mathematics","2D Shapes","Identifies triangle shape with 3 vertices.","Flashcard: Triangle / 🔺","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Pe' (three) + 'kona' (corner/angle).","SHAPE_TRIANGLE","vocabulary",true,"easy","FLN-MATH-SHP-01"
FLN-SAN-049,"चौकोर / चार कोना","Pun-kona","ᱯᱩᱱ-ᱠᱳᱬᱟ","पुन-कोणा","Vocabulary","Shapes","Class 1","Mathematics","2D Shapes","Identifies square/rectangle shape with 4 corners.","Flashcard: Square / ⬛","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Pun' (four) + 'kona' (corner).","SHAPE_SQUARE","vocabulary",true,"easy","FLN-MATH-SHP-01"
FLN-SAN-050,"पानी पियो।","Da' ñu me.","ᱫᱟᱜ ᱧᱩ ᱢᱮ᱾","दाग ञु मे।","Classroom management","Daily Care","Class 1","General","Hygiene & Care","Understands water break instructions.","Recess/break time.","Santhali Primer Class 1 (SCERT)",true,"high","'Da'' = water, 'ñu' = drink.","DRINK_WATER","imperative",true,"easy","FLN-SOC-03"
FLN-SAN-051,"हाथ धो लो।","Ti arup' me.","ᱛᱤ ᱟᱹᱨᱩᱵ ᱢᱮ᱾","ती आरुब मे।","Classroom management","Daily Care","Class 1","General","Hygiene & Care","Follows midday meal hygiene instructions.","Before Midday Meal.","Santhali Primer Class 1 (SCERT)",true,"high","'Arup'' = wash.","WASH_HANDS","imperative",true,"easy","FLN-SOC-03"
FLN-SAN-052,"चलो एक खेल खेलते हैं।","Dela bon enec'a.","ᱫᱮᱞᱟ ᱵᱚᱱ ᱮᱱᱮᱡ-ᱟ᱾","देला बोन एनेज-आ।","Activity","Games","Class 1","General","Play-based Learning","Participates enthusiastically in group learning games.","Starting Math circle game.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Dela' = come / let's, 'enec'' = play.","LETS_PLAY","imperative",true,"easy","FLN-ACT-01"
FLN-SAN-053,"ताली बजाओ।","Chakhi thayo me.","ᱛᱷᱟᱭᱚ ᱢᱮ᱾","थायो मे।","Praise","Celebration","Class 1","General","Classroom Celebration","Applauds peer achievement in class.","When a child solves problem on board.","Santhali Classroom Guide 2023",true,"high","'Thayo me' = clap.","CLAP_HANDS","imperative",true,"easy","FLN-SOC-01"
FLN-SAN-054,"चुप रहो।","Thir thako me.","ᱛᱷᱤᱨ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾","थिर ताहेन मे।","Classroom management","Discipline","Class 1","General","Classroom Discipline","Maintains quiet during listening tasks.","When classroom becomes noisy.","Santhali Primer Class 1 (SCERT)",true,"high","'Thir' = quiet / calm.","BE_QUIET","imperative",true,"easy","FLN-LANG-LST-01"
FLN-SAN-055,"जोड़ो।","Mesaye me.","ᱢᱮᱥᱟᱭ ᱢᱮ᱾","मेसाय मे।","Mathematics","Addition","Class 1","Mathematics","Single Digit Addition","Combines two groups of concrete objects.","2 apples + 1 apple activity.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Mesa' = mix / join / add together.","ADD_NUMBERS","imperative",true,"medium","FLN-MATH-ADD-01"
FLN-SAN-056,"घटाओ / निकालो।","Oḍok' me.","ᱚᱰᱚᱠ ᱢᱮ᱾","ओड़ोक मे।","Mathematics","Subtraction","Class 1","Mathematics","Single Digit Subtraction","Takes away objects from a collection to find remainder.","Take away 1 pencil from 3 pencils.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Oḍok'' = take out / subtract.","SUBTRACT_NUMBERS","imperative",true,"medium","FLN-MATH-SUB-01"
FLN-SAN-057,"यह क्या है?","Nowa do ched kana?","ᱱᱚᱶᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?",,"नोवा दो चेद काना?","Reading","Vocabulary","Class 1","Language","Object Naming","Names concrete objects when pointed to by teacher.","Pointing to blackboard or tree.","Santhali Classroom Guide 2023",true,"high","Essential elicitation question.","WHAT_IS_THIS","interrogative",true,"easy","FLN-LANG-SPK-02"
FLN-SAN-058,"मेरे पीछे दोहराओ।","Iña tayom te roṛ me.","ᱤᱧᱟᱜ ᱛᱟᱭᱚᱢ ᱛᱮ ᱨᱚᱲ ᱢᱮ᱾","इञाग तायोम ते रोड़ मे।","Listening","Choral Repetition","Class 1","Language","Phonics & Pronunciation","Repeats phonemes and words after model pronunciation.","Chanting alphabet sounds.","Jharkhand Tribal Language & MTB-MLE FLN Curriculum 2024",true,"high","'Tayom te roṛ' = speak after / repeat.","REPEAT_AFTER_ME","imperative",true,"easy","FLN-LANG-LST-02"
FLN-SAN-059,"अपनी स्लेट पर लिखो।","Apnarag slate re ol me.","ᱟᱯᱱᱟᱨᱟᱜ ᱥᱞᱮᱴ ᱨᱮ ᱚᱞ ᱢᱮ᱾","आपनाराग स्लेट रे ओल मे।","Writing","Motor Skills","Class 1","General","Slate Writing","Practices letter and number stroke formation on slate.","Writing practice session in rural school.","Santhali Primer Class 1 (SCERT)",true,"high","Direct instruction for rural slate usage.","WRITE_ON_SLATE","imperative",true,"easy","FLN-LANG-WRT-01"
FLN-SAN-060,"लाइन बनाओ।","Thār benao pe.","ᱛᱷᱟᱨ ᱵᱮᱱᱟᱣ ᱯᱮ᱾","थार बेनाव पे।","Classroom management","Queue","Class 1","General","Queue & Assembly","Forms orderly line during assembly or dismissal.","Moving to meal area or playground.","Santhali Classroom Guide 2023",true,"high","'Thār' = line/row.","MAKE_LINE","imperative",true,"easy","FLN-LANG-LST-01"
